Name,Description,Price,Category,Available,Image URL
Cheeseburger,"A juicy beef patty with melted cheese, lettuce, and tomato.",90.00,main_course,False,/static/uploads/202503121646393a7cfd71fe48db4b3f2a49c3642384d.png
Vegetarian Pizza,A delightful pizza with a variety of fresh vegetables on a crispy crust.,12.49,appetizer,True,/static/uploads/20250312164703a52ac476291bceb8bc5d0240bdec3bd.png
Grilled Chicken Salad,"Grilled chicken served with fresh greens, tomatoes, cucumbers, and dressing.",10.99,appetizer,True,/static/uploads/202503121647093a7cfd71fe48db4b3f2a49c3642384d.png
Classic Margherita Pizza,"A classic pizza with mozzarella, tomatoes, and fresh basil.",9.99,appetizer,True,/static/uploads/20250312164716f6892841d0cdd1d497be632279a65e8.png
Spaghetti Carbonara,"Classic Italian spaghetti with creamy sauce, bacon, and parmesan.",14.99,appetizer,True,/static/uploads/20250312164730929c3078e3b4ad8096f892303ba22c3.png
BBQ Ribs,"Tender ribs glazed with a smoky BBQ sauce, served with fries.",18.99,appetizer,True,/static/uploads/20250312164738929c3078e3b4ad8096f892303ba22c3.png
Vegan Tacos,"Delicious tacos filled with seasoned veggies, guacamole, and salsa.",7.49,appetizer,True,/static/uploads/20250312164751f6892841d0cdd1d497be632279a65e8.png
Fish and Chips,Crispy battered fish fillets with a side of fries and tartar sauce.,11.99,appetizer,True,/static/uploads/20250312164806929c3078e3b4ad8096f892303ba22c3.png
Chocolate Lava Cake,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.99,appetizer,True,/static/uploads/202503121648573a7cfd71fe48db4b3f2a49c3642384d.png
Caesar Salad,"Crisp romaine lettuce, parmesan cheese, croutons, and Caesar dressing.",8.49,appetizer,True,/static/uploads/20250312164908b9a3dcfc3260e349aa640199f4b360f.png
